Unnamed: 0,Cell_area_measured,Cell_architecture,Cell_flexible,Cell_semitransparent,Perovskite_band_gap,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_quenching_induced_crystallisation,Stabilised_performance_measured,ETL_thickness_zong,a_ionsMendeleevNumber,a_ionsAtomicWeight,long_formMendeleevNumber,long_formAtomicWeight,long_formElectronegativity,long_formNfValence,Y
0,0.133,2,0,0,1.42,0,1,0,40.0,6.640000000000001,2.47790096,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
1,0.133,2,0,0,1.42,0,1,0,40.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
2,0.133,2,0,0,1.42,0,1,0,40.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
3,0.133,2,0,0,1.42,0,1,0,40.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
4,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
5,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
6,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
7,0.133,2,0,0,1.42,0,1,0,40.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
8,0.133,2,0,0,1.42,0,1,0,40.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
9,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
10,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
11,0.133,2,0,0,1.42,0,1,0,8.0,92.2,19.956431904,86.98646820027065,23.73876739512855,3.309330175913397,0.0,0
